EAN,Quantity,Price
9780134408378,3,$92.06
9780134410968,33,$111.6
9780134413310,11,$24.11
9780134415673,10,$18.65
9780134419077,7,$87.64
9780134420646,18,$35.78
9780134420868,13,$113.22
9780134422404,3,$141.2
9780134426686,13,$47.6
9780134435046,3,$83.73
9780134435053,27,$92.43
9780134435091,4,$104.06
9780134436135,4,$85.22
9780134441962,8,$22.91
9780134443928,7,$68.22
9780134444291,4,$72.89
9780134448237,4,$78.75
9780134463971,5,$47.42
9780134467795,6,$48.0
9780134472492,10,$99.48
9780134474083,5,$119.24
9780134482026,4,$42.72
9780134497068,18,$58.5
9780134518299,10,$42.06
9780134525051,3,$33.03
9780134586328,14,$41.26
9780134586335,19,$54.61
9780134586342,73,$27.3
9780134586359,10,$56.16
9780134586366,3,$25.09
9780134586373,18,$48.33
9780134586403,3,$30.93
9780134586410,96,$44.71
9780134586434,45,$45.82
9780134586441,63,$31.97
9780134586458,28,$46.31
9780134586465,10,$63.99
9780134586489,8,$25.48
9780134586496,10,$20.16
9780134586502,18,$45.0
9780134586519,73,$54.99
9780134586526,18,$8.95
9780134586533,19,$20.79
9780134586557,5,$24.49
9780134590882,4,$28.27
9780135077931,73,$95.8
9780136000921,13,$54.87
9780136028321,10,$21.6
9780136029991,9,$3.26
9780136052012,4,$32.79
9780136106890,24,$24.51
9780136115830,18,$67.68
9780137008681,3,$12.72
9780137021062,27,$41.32
9780137071500,3,$3.5
9780138003265,3,$72.6
9780138004644,22,$36.94
9780138015626,13,$77.46
9780138053260,6,$16.28
9780138147570,5,$47.47
9780139239700,3,$35.72
9780142004944,6,$8.09
9780143104919,3,$2.99
9780143107606,5,$4.24
9780143118756,28,$2.0
9780190200046,61,$27.82
9780190200237,34,$32.76
9780190201081,22,$20.96
9780190202491,16,$11.18
9780190203825,4,$32.27
9780190204419,19,$24.16
9780190207038,60,$39.6
9780190209452,103,$30.8
9780190209520,3,$29.67
9780190209667,3,$27.91
9780190209803,46,$31.0
9780190209896,41,$62.62
9780190210847,30,$30.22
9780190215323,18,$28.7
9780190216405,20,$12.8
9780190218867,31,$24.54
9780190227302,25,$41.04
9780190236724,19,$14.1
9780190238599,12,$26.87
9780190238742,63,$8.1
9780190238940,3,$9.1
9780190240455,9,$19.31
9780190240462,41,$18.3
9780190240479,44,$22.32
9780190240493,18,$4.71
9780190250430,37,$37.46
9780190254865,33,$22.0
9780190260316,7,$34.63
9780190266202,6,$21.13
9780190270995,18,$26.25
9780190272524,50,$17.19
9780190275570,32,$29.8
9780190275686,8,$37.82
9780190277604,5,$15.88
9780190455163,5,$33.26
9780190456405,11,$33.7
9780190460853,58,$29.89
9780190615628,5,$39.65
9780195331455,3,$60.87
9780195380675,20,$39.02
9780195394658,16,$16.38
9780195395136,3,$5.39
9780195398922,3,$14.93
9780199006199,5,$13.15
9780199316014,4,$36.97
9780199316366,4,$8.9
9780199326204,9,$45.58
9780199329335,4,$6.83
9780199331161,12,$14.54
9780199338351,62,$34.69
9780199339136,18,$91.18
9780199340484,15,$19.21
9780199341696,12,$8.01
9780199347094,9,$44.56
9780199349340,42,$32.99
9780199349364,13,$15.08
9780199363599,22,$19.27
9780199371020,12,$12.67
9780199372294,10,$20.29
9780199378364,97,$31.73
9780199379996,9,$21.81
9780199381456,3,$21.03
9780199383405,85,$37.3
9780199385423,92,$39.21
9780199386130,32,$22.7
9780199388462,13,$28.48
9780199388578,8,$11.04
9780199390489,98,$38.6
9780199398010,45,$45.58
9780199399628,4,$29.18
9780199399789,4,$35.88
9780199399802,20,$26.4
9780199545339,9,$19.55
9780199568987,5,$8.15
9780199737291,33,$19.1
9780199737574,5,$18.42
9780199739790,69,$32.65
9780199765539,3,$6.71
9780199779406,37,$19.1
9780199793518,22,$23.4
9780199827503,5,$17.46
9780199843602,7,$22.76
9780199846276,3,$48.16
9780199859092,19,$21.09
9780199859115,79,$24.14
9780199892495,7,$6.58
9780199930159,17,$19.51
9780199935888,24,$9.01
9780199946563,4,$21.99
9780199947546,3,$17.6
9780199957699,15,$35.7
9780199964154,15,$45.19
9780199978465,13,$12.14
9780199988310,3,$27.43
9780199989492,13,$12.06
9780199997329,13,$40.93
9780199997961,32,$23.81
9780203941416,7,$6.96
9780205004065,7,$24.36
9780205006083,24,$43.78
9780205010479,7,$41.15
9780205053995,5,$22.41
9780205098019,4,$17.99
9780205229390,7,$42.81
9780205238460,17,$51.06
9780205242634,53,$31.51
9780205242658,10,$14.73
9780205246441,48,$6.96
9780205255405,36,$28.9
9780205256242,79,$58.86
9780205259472,41,$39.03
9780205275533,13,$33.55
9780205377794,4,$27.06
9780205393923,6,$40.77
9780205408016,9,$60.72
9780205579358,4,$56.74
9780205674527,11,$3.95
9780205696529,36,$23.4
9780205706808,6,$9.78
9780205708109,3,$44.0
9780205747962,8,$30.46
9780205782765,6,$32.34
9780205782772,4,$17.11
9780205790449,11,$6.98
9780205810468,12,$20.74
9780205820160,14,$40.23
9780205829651,35,$12.12
9780205832408,7,$6.02
9780205872800,4,$14.62
9780205874378,5,$30.56
9780205887897,31,$39.12
9780205888603,11,$34.82
9780205896417,101,$5.4
9780205896462,34,$46.47
9780205899661,24,$6.5
9780205901302,37,$2.5
9780205914906,7,$27.02
9780205917280,12,$37.39
9780205917617,6,$11.65
9780205924363,17,$68.53
9780205933761,40,$48.38
9780205933808,24,$36.62
9780205940455,75,$28.49
9780205947157,22,$10.04
9780205948031,5,$18.02
9780205957385,169,$28.79
9780205957606,96,$48.79
9780205958504,11,$26.44
9780205959136,114,$63.84
9780205959495,3,$56.12
9780205960972,58,$40.5
9780205960989,19,$40.5
9780205962051,25,$40.5
9780205962068,13,$41.22
9780205965106,36,$51.67
9780205965182,20,$2.0
9780205968060,14,$80.2
9780205968459,7,$15.88
9780205971459,6,$24.45
9780205978007,13,$9.49
9780205986293,7,$42.61
9780205987597,11,$16.0
9780205988945,6,$44.91
9780205990795,97,$37.15
9780205994366,13,$67.32
9780205997336,5,$41.96
9780205998951,32,$28.77
9780205999729,68,$14.05
9780226206837,5,$3.44
9780226276182,17,$7.17
9780226458120,5,$2.0
9780226816319,5,$6.69
9780230308473,13,$12.71
9780231135818,5,$10.9
9780231139984,5,$9.51
9780231158930,4,$30.97
9780231161893,17,$7.4
9780240811581,30,$9.27
9780240821573,12,$20.59
9780253012920,3,$10.42
9780253217493,4,$7.45
9780262016766,6,$17.9
9780262027281,6,$43.25
9780273742753,11,$25.78
9780300105872,18,$3.03
9780300194463,10,$4.0
9780307388490,13,$5.38
9780307957917,3,$5.39
9780312148393,4,$27.6
9780312444433,21,$3.19
9780312464523,8,$2.93
9780312666767,98,$2.4
9780314289018,9,$20.2
9780321334459,3,$79.2
9780321512949,16,$31.5
9780321625922,150,$21.15
9780321629111,25,$36.08
9780321691699,3,$52.27
9780321707338,13,$59.77
9780321747471,7,$56.65
9780321762429,56,$52.74
9780321776419,15,$13.15
9780321795434,5,$84.31
9780321796974,14,$50.01
9780321796981,14,$50.34
9780321797056,13,$62.54
9780321807090,21,$68.19
9780321811059,6,$59.03
9780321814173,33,$39.94
9780321816252,8,$60.98
9780321818508,16,$48.13
9780321820464,128,$3.31
9780321825278,22,$22.52
9780321838179,4,$60.02
9780321848741,120,$27.6
9780321854018,24,$65.54
9780321868060,12,$45.93
9780321881809,3,$18.52
9780321884077,16,$19.79
